订单号,用户ID,商品名称,价格,购买时间,收货地址,手机号,订单状态
ODR000001,U059,Magic Keyboard,334,2024.1.5 13时,杭州市玄武区,abc12345678,已付款
ODR000002,U112,Magic Keyboard,1337元,2024.2.26 13时,,13578706767,已发货
ODR000003,U396,Mac mini M2,6195元,2024.6.10 10时,重庆市锦江区,13994250915,已完成
ODR000004,U437,手机壳,9856,2024-07-20 12:05:56,深圳市西湖区,13867920682,待付款
ODR000005,U036,手机壳,8374,2024.10.23 20时,成都市西湖区,13791823799,已付款
ODR000006,U004,Magic Mouse,¥5396,2024.3.4 15时,南京市浦东新区,13861652926,已发货
ODR000007,U195,USB-C充电线,¥2246,2024-05-09 17:48:11,成都市江汉区,15024055546,已发货
ODR000008,U405,HomePod mini,¥7273,2024.12.24 19时,成都市南山区,13751861434,已取消
ODR000009,U042,HomePod mini,¥8567,2024-07-21 21:48:49,重庆市江汉区,123456,已取消
ODR000010,U265,Magic Keyboard,1066,2024-07-24 16:10:25,杭州市渝中区,15199796262,已付款
ODR000011,U490,手机壳,275,2024/3/13,西安市西湖区,123456,已完成
ODR000012,U319,iMac 24寸,5243元,2024.7.25 17时,北京市渝中区,13604469371,已完成
ODR000013,U204,手机壳,171元,2024-12-06 09:51:58,武汉市南山区,13839933834,待付款
ODR000014,U028,HomePod mini,6052,2024.8.20 14时,杭州市锦江区,13973549179,已发货
ODR000015,U003,iPad Pro 12.9,4586,2024-11-07 18:11:22,西安市西湖区,15298758874,已取消
ODR000016,U070,iPhone 15 Pro,5198,2024.8.23 10时,西安市江汉区,13720450041,已取消
ODR000017,U027,iMac 24寸,7737,2024.3.9 12时,深圳市锦江区,手机号缺失,待付款
ODR000018,U265,iMac 24寸,¥6034,2024-10-18 14:53:12,北京市锦江区,15227026948,已付款
ODR000019,U129,屏幕保护膜,¥9634,2024-12-26 20:36:37,重庆市玄武区,13925230852,待付款
ODR000020,U404,手机壳,7708,2024-10-13 21:36:31,重庆市天河区,13537137999,待付款
ODR000021,U496,MacBook Air M3,222,2024.2.5 16时,深圳市锦江区,13551487321,已付款
ODR000022,U410,iMac 24寸,¥6252,2024-01-12 11:28:27,成都市江汉区,13768441423,已完成
ODR000023,U158,USB-C充电线,9968,2024-09-10 21:46:32,杭州市渝中区,13914741496,待付款
ODR000024,U100,Magic Mouse,6534,2024-07-14 10:34:06,深圳市朝阳区,13854811761,待付款
ODR000025,U028,iPhone 15 pro,¥6815,2024.11.7 9时,,13702542655,已付款
ODR000026,U127,iPhone 15 Pro,4559元,2024.12.28 11时,深圳市雁塔区,13659278932,待付款
ODR000027,U204,AirPods Pro 2,9292,2024.3.24 19时,成都市江汉区,13829314186,待付款
ODR000028,U280,MacBook Air M3,¥6400,2024-05-07 11:32:53,上海市天河区,15258693705,待付款
ODR000029,U225,HomePod mini,7669元,2024.7.20 21时,南京市雁塔区,15213895468,已完成
ODR000030,U190,USB-C充电线,9125,2024.7.17 20时,西安市浦东新区,13759148708,已完成
ODR000031,U090,HomePod mini,¥6362,2024/1/20,上海市浦东新区,13800138,待付款
ODR000032,U424,Apple Watch Series 9,5622,2024.7.27 16时,西安市锦江区,13980109458,已发货
ODR000033,U179,Mac mini M2,¥3735,2024.10.5 9时,广州市雁塔区,15028559582,待付款
ODR000034,U329,iPhone 15 Pro,9157,2024.4.22 11时,北京市南山区,123456,已取消
ODR000035,U428,AirPods Pro 2,7626,2024-05-26 19:16:08,北京市雁塔区,15033924488,已取消
ODR000036,U101,USB-C充电线,¥3388,2024-08-04 09:48:27,北京市朝阳区,13556775261,已取消
ODR000037,U437,手机壳,1430,2024-11-24 19:31:21,武汉市朝阳区,abc12345678,已发货
